"facility_id","provider_id","country","year","unique_id","num_staff","num_med","num_nonmed","provider_post1","provider_cadre1","provider_educ1","provider_mededuc1","provider_male1","is_outpatient","provider_present1","absent_reason1","provider_post2","provider_cadre2","provider_educ2","provider_mededuc2","provider_male2","provider_present2","absent_reason2","provider_activity","salary_delay","has_roster","has_absentee"
"1","1","TANZANIA",2014,"1_1",1,1,1,1,2,2,3,1,1,1,,1,2,2,3,1,1,,1,0,1,1
"1","2","TANZANIA",2014,"1_2",1,1,1,5,4,2,2,0,0,1,,5,4,2,2,0,1,,1,0,1,1
"1","3","TANZANIA",2014,"1_3",1,1,1,3,4,2,2,0,0,1,,3,4,2,2,0,1,,1,0,1,1
"10","5","TANZANIA",2014,"10_5",2,2,1,5,4,1,2,0,0,1,,5,4,1,2,0,1,,1,0,1,1
"10","8","TANZANIA",2014,"10_8",2,2,1,5,4,1,2,0,0,1,,5,4,1,2,0,1,,1,0,1,1
"10","7","TANZANIA",2014,"10_7",2,2,1,5,4,1,2,1,0,1,,5,4,1,2,1,1,,4,0,1,1
"10","6","TANZANIA",2014,"10_6",2,2,1,5,4,2,2,0,0,1,,5,4,2,2,0,0,5,,,1,1
"10","3","TANZANIA",2014,"10_3",2,2,1,5,3,1,2,0,0,1,,5,3,1,2,0,1,,1,0,1,1
"10","2","TANZANIA",2014,"10_2",2,2,1,2,2,2,2,1,1,0,4,2,2,2,2,1,1,,1,0,1,1
"10","9","TANZANIA",2014,"10_9",2,2,1,5,4,2,2,1,0,1,,5,4,2,2,1,0,8,,,1,1
"10","10","TANZANIA",2014,"10_10",2,2,1,5,4,2,2,0,0,1,,5,4,2,2,0,1,,1,0,1,1
"10","1","TANZANIA",2014,"10_1",2,2,1,1,2,2,3,1,1,1,,1,2,2,3,1,1,,1,0,1,1
"10","4","TANZANIA",2014,"10_4",2,2,1,5,4,2,2,0,0,1,,5,4,2,2,0,1,,1,0,1,1
"100","3","TANZANIA",2014,"100_3",2,2,1,5,3,2,3,0,0,0,5,5,3,2,3,0,1,,1,0,1,1
"100","4","TANZANIA",2014,"100_4",2,2,1,5,4,2,2,0,0,0,5,5,4,2,2,0,0,5,,,1,1
"100","8","TANZANIA",2014,"100_8",2,2,1,5,4,2,2,0,0,0,5,5,4,2,2,0,0,5,,,1,1
"100","5","TANZANIA",2014,"100_5",2,2,1,5,4,2,2,0,0,0,5,,,,,,,,,,1,
"100","10","TANZANIA",2014,"100_10",2,2,1,5,4,2,2,0,0,0,5,5,4,2,2,0,0,5,,,1,1
"100","9","TANZANIA",2014,"100_9",2,2,1,5,4,2,2,0,0,0,5,5,4,2,2,0,1,,1,1,1,1
"100","11","TANZANIA",2014,"100_11",2,2,1,5,4,2,2,0,0,0,5,5,4,2,2,0,1,,1,1,1,1
"100","2","TANZANIA",2014,"100_2",2,2,1,4,2,2,3,1,1,1,,4,2,2,3,1,1,,1,0,1,1
"100","6","TANZANIA",2014,"100_6",2,2,1,5,4,2,2,0,1,1,,5,4,2,2,0,1,,1,1,1,1
"100","1","TANZANIA",2014,"100_1",2,2,1,3,1,2,3,1,1,0,5,3,1,2,3,1,0,5,,,1,1
"100","7","TANZANIA",2014,"100_7",2,2,1,5,4,1,2,0,0,0,5,5,4,2,2,0,1,,1,1,1,1
"101","2","TANZANIA",2014,"101_2",2,2,1,4,2,2,3,1,1,0,5,4,2,2,3,1,1,,1,0,1,1
